X,CH1,CH2,
Second,Volt,Volt,
4.91000e-05,-2.20e+00,2.00e+01,
4.91100e-05,-2.20e+00,2.08e+01,
4.91200e-05,-2.40e+00,2.08e+01,
4.91300e-05,-2.60e+00,2.16e+01,
4.91400e-05,-2.80e+00,2.16e+01,
4.91500e-05,-3.00e+00,2.16e+01,
4.91600e-05,-3.20e+00,2.16e+01,
4.91700e-05,-3.80e+00,2.16e+01,
4.91800e-05,-4.40e+00,2.08e+01,
4.91900e-05,-5.00e+00,2.08e+01,
4.92000e-05,-5.60e+00,2.00e+01,
4.92100e-05,-6.20e+00,1.84e+01,
4.92200e-05,-7.00e+00,1.68e+01,
4.92300e-05,-7.80e+00,1.52e+01,
4.92400e-05,-8.60e+00,1.36e+01,
4.92500e-05,-9.00e+00,1.28e+01,
4.92600e-05,-9.40e+00,1.20e+01,
4.92700e-05,-9.80e+00,1.12e+01,
4.92800e-05,-1.04e+01,1.04e+01,
4.92900e-05,-1.04e+01,1.12e+01,
4.93000e-05,-1.06e+01,1.12e+01,
4.93100e-05,-1.06e+01,1.12e+01,
4.93200e-05,-1.08e+01,1.12e+01,
4.93300e-05,-1.08e+01,1.20e+01,
4.93400e-05,-1.10e+01,1.20e+01,
4.93500e-05,-1.12e+01,1.28e+01,
4.93600e-05,-1.14e+01,1.28e+01,
4.93700e-05,-1.12e+01,1.36e+01,
4.93800e-05,-1.12e+01,1.36e+01,
4.93900e-05,-1.12e+01,1.36e+01,
4.94000e-05,-1.12e+01,1.36e+01,
4.94100e-05,-1.10e+01,1.12e+01,
4.94200e-05,-1.08e+01,8.80e+00,
4.94300e-05,-1.06e+01,6.40e+00,
4.94400e-05,-1.04e+01,4.00e+00,
4.94500e-05,-1.04e+01,4.00e+00,
4.94600e-05,-1.06e+01,3.20e+00,
4.94700e-05,-1.06e+01,2.40e+00,
4.94800e-05,-1.08e+01,1.60e+00,
4.94900e-05,-1.08e+01,3.20e+00,
4.95000e-05,-1.08e+01,4.80e+00,
4.95100e-05,-1.08e+01,6.40e+00,
4.95200e-05,-1.08e+01,8.00e+00,
4.95300e-05,-1.08e+01,1.04e+01,
4.95400e-05,-1.08e+01,1.28e+01,
4.95500e-05,-1.08e+01,1.52e+01,
4.95600e-05,-1.08e+01,1.68e+01,
4.95700e-05,-1.06e+01,1.92e+01,
4.95800e-05,-1.04e+01,2.16e+01,
4.95900e-05,-1.02e+01,2.40e+01,
4.96000e-05,-1.02e+01,2.56e+01,
4.96100e-05,-1.00e+01,2.64e+01,
4.96200e-05,-1.00e+01,2.64e+01,
4.96300e-05,-1.00e+01,2.64e+01,
4.96400e-05,-1.00e+01,2.64e+01,
4.96500e-05,-1.00e+01,2.56e+01,
4.96600e-05,-1.00e+01,2.40e+01,
4.96700e-05,-1.00e+01,2.32e+01,
4.96800e-05,-1.02e+01,2.16e+01,
4.96900e-05,-1.00e+01,2.00e+01,
4.97000e-05,-9.80e+00,1.84e+01,
4.97100e-05,-9.60e+00,1.68e+01,
4.97200e-05,-9.60e+00,1.44e+01,
4.97300e-05,-9.60e+00,1.44e+01,
4.97400e-05,-9.60e+00,1.36e+01,
4.97500e-05,-9.60e+00,1.36e+01,
4.97600e-05,-9.60e+00,1.28e+01,
4.97700e-05,-9.60e+00,1.36e+01,
4.97800e-05,-9.60e+00,1.44e+01,
4.97900e-05,-9.60e+00,1.52e+01,
4.98000e-05,-9.80e+00,1.52e+01,
4.98100e-05,-1.00e+01,1.60e+01,
4.98200e-05,-1.02e+01,1.60e+01,
4.98300e-05,-1.04e+01,1.60e+01,
4.98400e-05,-1.06e+01,1.60e+01,
4.98500e-05,-1.06e+01,1.60e+01,
4.98600e-05,-1.08e+01,1.60e+01,
4.98700e-05,-1.10e+01,1.60e+01,
4.98800e-05,-1.12e+01,1.52e+01,
4.98900e-05,-1.12e+01,1.52e+01,
4.99000e-05,-1.12e+01,1.44e+01,
4.99100e-05,-1.12e+01,1.44e+01,
4.99200e-05,-1.14e+01,1.36e+01,
4.99300e-05,-1.14e+01,1.36e+01,
4.99400e-05,-1.14e+01,1.28e+01,
4.99500e-05,-1.14e+01,1.20e+01,
4.99600e-05,-1.14e+01,1.12e+01,
4.99700e-05,-1.12e+01,1.20e+01,
4.99800e-05,-1.12e+01,1.20e+01,
4.99900e-05,-1.10e+01,1.20e+01,
5.00000e-05,-1.10e+01,1.20e+01,
5.00100e-05,-1.08e+01,1.28e+01,
5.00200e-05,-1.08e+01,1.28e+01,
5.00300e-05,-1.06e+01,1.36e+01,
5.00400e-05,-1.06e+01,1.36e+01,
5.00500e-05,-1.04e+01,1.44e+01,
5.00600e-05,-1.04e+01,1.52e+01,
5.00700e-05,-1.02e+01,1.60e+01,
5.00800e-05,-1.02e+01,1.60e+01,
5.00900e-05,-1.02e+01,1.68e+01,
5.01000e-05,-1.02e+01,1.68e+01,
5.01100e-05,-1.02e+01,1.68e+01,
5.01200e-05,-1.02e+01,1.68e+01,
5.01300e-05,-1.00e+01,1.68e+01,
5.01400e-05,-1.00e+01,1.68e+01,
5.01500e-05,-1.00e+01,1.68e+01,
5.01600e-05,-1.00e+01,1.68e+01,
5.01700e-05,-1.00e+01,1.68e+01,
5.01800e-05,-1.00e+01,1.60e+01,
5.01900e-05,-1.00e+01,1.60e+01,
5.02000e-05,-1.02e+01,1.52e+01,
5.02100e-05,-1.02e+01,1.52e+01,
5.02200e-05,-1.04e+01,1.52e+01,
5.02300e-05,-1.04e+01,1.52e+01,
5.02400e-05,-1.06e+01,1.52e+01,
5.02500e-05,-1.06e+01,1.52e+01,
5.02600e-05,-1.06e+01,1.44e+01,
5.02700e-05,-1.06e+01,1.44e+01,
5.02800e-05,-1.08e+01,1.36e+01,
5.02900e-05,-1.08e+01,1.36e+01,
5.03000e-05,-1.08e+01,1.36e+01,
5.03100e-05,-1.08e+01,1.36e+01,
5.03200e-05,-1.10e+01,1.36e+01,
5.03300e-05,-1.10e+01,1.36e+01,
5.03400e-05,-1.10e+01,1.36e+01,
5.03500e-05,-1.10e+01,1.36e+01,
5.03600e-05,-1.10e+01,1.28e+01,
5.03700e-05,-1.10e+01,1.28e+01,
5.03800e-05,-1.10e+01,1.28e+01,
5.03900e-05,-1.10e+01,1.28e+01,
5.04000e-05,-1.10e+01,1.28e+01,
5.04100e-05,-1.08e+01,1.36e+01,
5.04200e-05,-1.08e+01,1.36e+01,
5.04300e-05,-1.08e+01,1.36e+01,
5.04400e-05,-1.08e+01,1.36e+01,
5.04500e-05,-1.06e+01,1.44e+01,
5.04600e-05,-1.06e+01,1.44e+01,
5.04700e-05,-1.06e+01,1.44e+01,
5.04800e-05,-1.06e+01,1.44e+01,
5.04900e-05,-1.04e+01,1.52e+01,
5.05000e-05,-1.04e+01,1.52e+01,
5.05100e-05,-1.04e+01,1.52e+01,
5.05200e-05,-1.04e+01,1.52e+01,
5.05300e-05,-1.02e+01,1.52e+01,
5.05400e-05,-1.02e+01,1.52e+01,
5.05500e-05,-1.02e+01,1.52e+01,
5.05600e-05,-1.02e+01,1.44e+01,
5.05700e-05,-1.02e+01,1.44e+01,
5.05800e-05,-1.02e+01,1.44e+01,
5.05900e-05,-1.02e+01,1.44e+01,
5.06000e-05,-1.04e+01,1.44e+01,
5.06100e-05,-1.04e+01,1.44e+01,
5.06200e-05,-1.04e+01,1.44e+01,
5.06300e-05,-1.04e+01,1.44e+01,
5.06400e-05,-1.04e+01,1.36e+01,
5.06500e-05,-1.04e+01,1.36e+01,
5.06600e-05,-1.04e+01,1.36e+01,
5.06700e-05,-1.04e+01,1.36e+01,
5.06800e-05,-1.06e+01,1.36e+01,
5.06900e-05,-1.06e+01,1.36e+01,
5.07000e-05,-1.06e+01,1.36e+01,
5.07100e-05,-1.06e+01,1.36e+01,
5.07200e-05,-1.08e+01,1.28e+01,
5.07300e-05,-1.08e+01,1.36e+01,
5.07400e-05,-1.08e+01,1.36e+01,
5.07500e-05,-1.08e+01,1.36e+01,
5.07600e-05,-1.08e+01,1.36e+01,
5.07700e-05,-1.08e+01,1.36e+01,
5.07800e-05,-1.08e+01,1.36e+01,
5.07900e-05,-1.08e+01,1.28e+01,
5.08000e-05,-1.08e+01,1.28e+01,
5.08100e-05,-1.08e+01,1.20e+01,
5.08200e-05,-1.08e+01,1.28e+01,
5.08300e-05,-1.08e+01,1.28e+01,
5.08400e-05,-1.08e+01,1.28e+01,
5.08500e-05,-1.08e+01,1.28e+01,
5.08600e-05,-1.08e+01,1.28e+01,
5.08700e-05,-1.08e+01,1.28e+01,
5.08800e-05,-1.08e+01,1.28e+01,
5.08900e-05,-1.08e+01,1.28e+01,
5.09000e-05,-1.06e+01,1.36e+01,
5.09100e-05,-1.06e+01,1.36e+01,
5.09200e-05,-1.04e+01,1.36e+01,
5.09300e-05,-1.04e+01,1.36e+01,
5.09400e-05,-1.04e+01,1.36e+01,
5.09500e-05,-1.04e+01,1.36e+01,
5.09600e-05,-1.04e+01,1.36e+01,
5.09700e-05,-1.04e+01,1.36e+01,
5.09800e-05,-1.04e+01,1.36e+01,
5.09900e-05,-1.04e+01,1.36e+01,
5.10000e-05,-1.04e+01,1.36e+01,
5.10100e-05,-1.04e+01,1.36e+01,
5.10200e-05,-1.04e+01,1.36e+01,
5.10300e-05,-1.04e+01,1.36e+01,
5.10400e-05,-1.04e+01,1.36e+01,
5.10500e-05,-1.04e+01,1.36e+01,
5.10600e-05,-1.04e+01,1.36e+01,
